date,clp,fitted_clp,res_fx,z_fx,y10_clp,fitted_y10_clp,res_y10,z_y10,stress_market,stress_market_30d,stress_fx_30d,stress_y10_30d,regime
2012-10-05,472.76,468.6610718577667,0.008708014227375552,0.21564586714038125,5.41255722178374,4.0021212504289965,1.4104359713547439,2.371363726541383,1.2935047968408822,NA,NA,NA,NA
2012-10-08,472.37,470.53143430469834,0.003899809584681899,0.09657515451999386,5.43694444444444,4.105746308138164,1.331198136306276,2.2381412821200852,1.1673582183200395,NA,NA,NA,NA
2012-10-09,474.47,470.8916239467205,0.007570421842247572,0.18747445056506037,5.41005880686826,4.121721987276066,1.288336819592193,2.166078619374784,1.1767765349699222,NA,NA,NA,NA
2012-10-10,474.01,470.8008540785532,0.006793229033894268,0.1682279940577049,5.37803925619835,4.082300630236962,1.2957386259613874,2.178523264499604,1.1733756292786546,NA,NA,NA,NA
2012-10-11,475.02,469.7205451314297,0.011218975369695393,0.2778274826904693,5.38279537456008,4.140826656650871,1.2419687179092085,2.0881200047104134,1.1829737437004413,NA,NA,NA,NA
2012-10-12,472.8,469.056209095671,0.00794985600884314,0.19687078453302279,5.38087687715893,4.160584253349704,1.220292623809226,2.0516760226185333,1.124273403575778,NA,NA,NA,NA
2012-10-16,472.95,469.9018778429286,0.006465772297639469,0.16011883277284705,5.39658848614073,4.1635627301295735,1.2330257560111564,2.073084217277601,1.116601525025224,NA,NA,NA,NA
2012-10-17,471.54,468.84806862530195,0.005725165636208542,0.1417783981405591,5.40198041016223,4.256720696062742,1.145259714099488,1.9255233123954503,1.0336508552680046,NA,NA,NA,NA
2012-10-18,472.19,465.1967012356129,0.014921117407663843,0.3695075844000842,5.39,4.302895545590221,1.087104454409778,1.8277469679625227,1.0986272761813034,NA,NA,NA,NA
2012-10-19,472.56,468.06129417000363,0.009565465208488439,0.23687984259383962,5.38824675324675,4.305541620210211,1.082705133036539,1.8203503960246437,1.0286151193092417,NA,NA,NA,NA
2012-10-22,474.25,468.7093394935477,0.011751777706608665,0.29102183664511505,5.4,4.332442268171545,1.0675577318284555,1.7948830947747212,1.042952465709918,NA,NA,NA,NA
2012-10-23,475.67,474.29772934918896,0.0028890909931476123,0.07154564935208552,5.37964311093565,4.3219925602072555,1.0576505507283944,1.7782261671508495,0.9248859082514675,NA,NA,NA,NA
2012-10-24,481.4,473.51628038607487,0.016512230238790875,0.4089100126951497,5.38918994413408,4.365551302961396,1.0236386411726834,1.7210419984052456,1.0649760055501978,NA,NA,NA,NA
2012-10-25,481.78,473.3299870288708,0.0176947860738594,0.43819490725740007,5.40737390652337,4.400569994929793,1.0068039115935767,1.6927377946832705,1.0654663509703353,NA,NA,NA,NA
2012-10-26,478.87,475.3920770086586,0.007289272988294345,0.18051206088318908,5.42,4.3327342598260925,1.0872657401739072,1.8280181374579347,1.004265099170562,NA,NA,NA,NA
2012-10-29,480.3,476.25279276551584,0.008462118172487198,0.209556480214933,5.42,4.333376933947057,1.0866230660529432,1.8269376104936534,1.0182470453542933,NA,NA,NA,NA
2012-10-30,481.98,476.6576260332857,0.011104151371532372,0.27498397325125096,5.420819000819,4.343485847914109,1.077333152904891,1.811318494483126,1.0431512338671884,NA,NA,NA,NA
2012-10-31,480.03,476.3786581492746,0.0076355636465423845,0.18908762671606874,5.44,4.333500025592206,1.1064999744077946,1.8603566244905865,1.0247221256033276,NA,NA,NA,NA
2012-11-05,480.59,476.5873529211975,0.008363487493647287,0.20711398325641722,5.44985111662531,4.293494995022642,1.156356121602668,1.9441796844551393,1.0756468338557783,NA,NA,NA,NA
2012-11-06,482.29,476.5993656771969,0.011869359146503937,0.29393363156227525,5.45,4.295317858632604,1.154682141367396,1.941365224182222,1.1176494278722486,1.0888859799337405,0.23078832766239235,1.9469836322050884,Estrés moderado
2012-11-07,479.78,474.93582813523176,0.010147969256450817,0.2513050131615142,5.43666666666667,4.29506551847427,1.1416011481924002,1.9193721714295149,1.0853385922955145,1.0887170567128726,0.23176531268616005,1.945668800739585,Estrés moderado
2012-11-08,479.63,474.33357230175733,0.011104160103708715,0.27498418949547043,5.45921154499151,4.314366452507024,1.1448450924844862,1.9248262097420694,1.0999051996187699,1.0892256086631407,0.23372980708658325,1.944721410239698,Estrés moderado
2012-11-09,478.19,476.44585173227995,0.003654063913977006,0.09048949171887524,5.45169171626984,4.334047167968011,1.1176445483018296,1.8790939786256275,0.9847917351722514,1.0846850054678845,0.22750196728798724,1.9418680436477818,Estrés moderado
2012-11-12,479.79,471.5271536742359,0.017371817778445334,0.4301968980322352,5.43334763948498,4.375500391566673,1.0578472479183065,1.7785568738193855,1.1043768859258103,1.0855055004869647,0.23594758940233093,1.9350634115715986,Estrés moderado
2012-11-13,479.98,471.85014348750195,0.017082993804309148,0.42304444114284173,5.41435595345249,4.383920622723776,1.0304353307287133,1.732469261606886,1.0777568513748639,1.0851955545224807,0.24343146347195135,1.92695964557301,Estrés moderado
2012-11-14,483.69,472.2161389232301,0.02400740342471089,0.5945210003258142,5.41991615180935,4.4290587185574815,0.9908574332518687,1.665927006335833,1.1302240033308235,1.0869274179381863,0.25693490719709994,1.9169199286792726,Estrés moderado
2012-11-15,484.26,473.56268284389233,0.022337666769838366,0.5531715262167688,5.41,4.422059307201187,0.9879406927988129,1.6610230953107412,1.107097310763755,1.0876744510057998,0.26790663382745805,1.9074422681841416,Estrés moderado
2012-11-16,483.94,471.4949836133645,0.026052469281166307,0.6451651527650814,5.41954301075269,4.399249179686672,1.020293831066018,1.7154183745611253,1.1802917636631034,1.0909822121721322,0.2813801523609446,1.9005842719833197,Estrés moderado
2012-11-19,484.48,471.72040607117316,0.026689700756686145,0.6609455971373036,5.44,4.3711809778297575,1.0688190221702425,1.7970037001945318,1.2289746486659177,1.095740572051228,0.2944686159739225,1.897012528128534,Estrés moderado
2012-11-20,480.77,468.9275038060797,0.02494080487590815,0.6176358184781252,5.47,4.41398266254905,1.0560173374509496,1.775480248298455,1.1965580333882901,1.099101154095797,0.3052408560573959,1.892961452134198,Estrés moderado
2012-11-21,478.92,469.6051246278881,0.019641387643260903,0.4864006832758584,5.49666666666667,4.419145207261996,1.0775214594046734,1.8116350938978636,1.149017888586861,1.094284923820663,0.3142660165952451,1.8743038310460807,Estrés moderado
2012-11-22,477.81,470.78482336641105,0.014812024905512111,0.36680601012485314,5.54893617021276,4.4018138461847265,1.147122324028033,1.9286549154678003,1.1477304627963267,1.0936306653032057,0.32327371178207376,1.8639876188243378,Estrés moderado
2012-11-23,476.2,470.81246474838997,0.011378083340840133,0.281767643502172,5.5784178187404,4.4023877086958185,1.1760301100445811,1.9772575295293364,1.1295125865157543,1.0920552003547335,0.3264168182133108,1.8576935824961562,Estrés moderado
2012-11-26,478.03,471.2367494869761,0.014312871460923493,0.35444493966908497,5.56266052651204,4.380415606700599,1.182244919811441,1.9877064791788062,1.1710757094239455,1.0919785363595766,0.3326240497336902,1.851333022985463,Estrés moderado
2012-11-27,480.9,472.19847015823126,0.01825996345483682,0.45219099904441795,5.5368,4.378268492436671,1.158531507563329,1.9478371573664288,1.2000140782054234,1.0925465475097427,0.33843616694548845,1.8466569280739968,Estrés moderado
2012-11-28,481.05,473.8142523423477,0.015155842609836264,0.37532033555557104,5.50062378284647,4.348188428954848,1.152435353891622,1.9375877040185947,1.156454019787083,1.0936192347167861,0.3443844853129067,1.8428539841206655,Estrés moderado
2012-11-29,481.69,473.1973028326811,0.017788321370094916,0.440511221808372,5.51488294314381,4.317910135703793,1.1969728074400174,2.0124684529233057,1.2264898373658388,1.0972821784614732,0.35373089828075754,1.840833458642189,Estrés moderado
2012-11-30,479.42,473.56009853156087,0.012298211336218303,0.304553756875722,5.53064814814815,4.314685622808533,1.2159625253396174,2.0443958350370157,1.1744747959563688,1.1019763098177522,0.35915674357192967,1.8447958760635745,Estrés moderado
2012-12-03,480.39,474.50330240674066,0.012329696215423139,0.3053334506038963,5.55,4.326722151630545,1.223277848369455,2.056695075862693,1.1810142632332945,1.1047225427194851,0.3570176057787234,1.852427479660247,Estrés moderado
2012-12-04,481.28,474.36873395827115,0.014464282305888837,0.35819448831524625,5.57,4.326858689510761,1.2431413104892395,2.0900914827262684,1.2241429855207573,1.111240138259869,0.3610614273027703,1.8614188492169677,Estrés moderado
2012-12-05,481.05,468.8388450128911,0.025712119454835983,0.636736706105067,5.55508547008547,4.32762678844211,1.22745868164336,2.0637243041111275,1.3502305051080974,1.1214827395731417,0.3725852562847687,1.8703802228615145,Estrés moderado
2012-12-06,480.18,468.8386933625697,0.02390226171400212,0.5919172637233708,5.5628,4.314701776859016,1.2480982231409847,2.098425531982466,1.3451713978529183,1.13549225589319,0.38993097676381155,1.8810535350225686,Estrés moderado
2012-12-07,477.97,466.97568103277695,0.023270787578920926,0.5762793945283239,5.50240404040404,4.362765645327787,1.1396383950762528,1.9160721977771715,1.2461757961527478,1.141532248913275,0.3955099561582507,1.8875545416682993,Estrés moderado
2012-12-10,477.04,465.7409062745276,0.023970860430846317,0.5936160470960574,5.500125,4.319704884761447,1.1804201152385527,1.9846384381900204,1.289127242643039,1.1489876119690319,0.40069066081953925,1.8972845631185242,Estrés moderado
2012-12-11,476.29,465.1887696513802,0.02358363296635881,0.5840267193596067,5.4932783347257,4.303950337374591,1.1893279973511088,1.9996152460359893,1.291820982697798,1.1585728080866062,0.41414114943541985,1.9030044667377928,Estrés moderado
2012-12-12,474.78,465.5102310284314,0.019717463794760408,0.48828463835797564,5.49,4.337192005929788,1.1528079940702118,1.9382142233505646,1.21324943085427,1.165072887603272,0.42343208804018795,1.9067136871663566,Estrés moderado
2012-12-13,474.92,465.8876202547621,0.01920192200685667,0.47551772583386626,5.47,4.353778901215385,1.1162210987846144,1.8767007352453948,1.1761092305396306,1.1695048208256869,0.43011654645960845,1.9088930951917655,Estrés moderado
2012-12-14,474.95,463.72147284944583,0.023925437377890366,0.5924911874682383,5.48918482207698,4.3839262995790484,1.105258522497931,1.8582693733944107,1.2253802804313245,1.1761934259866202,0.4435633318180141,1.9088235201552264,Estrés moderado
2012-12-17,474.36,463.3545731589718,0.023473949340350603,0.5813105064522733,5.49,4.420084722099262,1.0699152779007377,1.7988468331882348,1.1900786698202541,1.1800078205187694,0.45603654925787596,1.9039790917796628,Estrés moderado
2012-12-18,474.5,463.1155220936316,0.02428508732400972,0.601397583630762,5.51,4.442503063285861,1.0674969367141387,1.7947808800469565,1.1980892318388592,1.1826891473176564,0.46628534766015883,1.8990929469751539,Estrés moderado
2012-12-19,474.81,466.6714471841193,0.01728925316456007,0.42815226221843217,5.49,4.427290611525866,1.0627093884741343,1.786731582903387,1.1074419225609096,1.1834259249931696,0.4721802559620561,1.894671594024283,Estrés moderado
2012-12-20,474.42,468.9830352665399,0.011526409658413325,0.2854408066984671,5.5081492063492,4.421836731138335,1.0863124752108655,1.8264154146112048,1.055928110654836,1.1819600220277051,0.4725288098688227,1.8913912341865875,Estrés moderado
2012-12-21,475.02,469.97891597678307,0.010669074337381944,0.26420969545927375,5.5061119047619,4.4286898395977925,1.0774220651641078,1.8114679825213167,1.0378388389902953,1.1837282588216398,0.47831948332683594,1.8891370343164438,Estrés moderado
