date,cap_30_89,cap_90_1y,comercial_total,consumo_total,imacec,ipc,tpm,vivienda_uf,bcp_2y,bcp_5y,bcu_10y,bcu_5y,bcp_10y,comercial_cuotas,comercial_sobregiro,consumo_cuotas,consumo_tarj_cuota,consumo_tarj_rot
2002-01-01,0.4740909090909091,0.5154545454545455,9.01662514544861,31.030626256863396,52.38684273346299,45.514365579999996,6,7.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-01,0.4465,0.47900000000000004,8.679110088155419,30.926110478141293,49.572388645635,45.51710638,5.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-01,0.3805,0.41250000000000003,8.07863257099312,26.0050233289108,55.496862230513,45.756218710000006,4.75,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-01,0.3628571428571428,0.39333333333333337,8.83271372970819,27.978527807546893,54.831662879903995,45.92913518000001,4.75,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-01,0.324,0.3565,7.36696133921772,29.3015069838025,53.95949546983399,45.97045359,4,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-01,0.315,0.345,7.393533147796499,28.878514368939197,52.591305977677,45.911944389999995,4,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-07-01,0.2682608695652174,0.2952173913043478,7.259828499567551,27.969498815730397,51.574149311361,46.11471881000001,3.25,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-08-01,0.22666666666666668,0.24952380952380954,6.479949301298961,27.417292281966294,52.645300668426,46.291905940000014,3,6.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-09-01,0.21789473684210528,0.24526315789473685,6.1719180965621305,25.8531059072752,51.486675858879,46.682974740000006,3,6.17,4.117515361445784,5.847286363636364,3.5469,2.52823476923077,NA,NA,NA,NA,NA,NA
2002-10-01,0.2282608695652174,0.25869565217391305,6.187982046513259,23.3991846423589,55.58545708624799,47.09448311,3,5.63,4.458693102832127,6.3560486300300205,3.868675,2.8445,NA,NA,NA,NA,NA,NA
2002-11-01,0.2285,0.2595,6.2207250066215,24.479850115432203,56.19572686576,47.05487879,3,5.05,3.9828452891722472,5.982820553695733,3.961688888888889,3.077472222222222,NA,NA,NA,NA,NA,NA
2002-12-01,0.2275,0.2605,6.136756971307549,26.030615281174796,58.46504834809501,46.8488481,3,4.99,3.949962587628491,5.62716159554731,4.055199999999999,3.2653333333333334,NA,NA,NA,NA,NA,NA
2003-01-01,0.21727272727272728,0.26,5.93665417752501,28.577047085661196,54.900606275459,46.89098487,2.75,5.6,4.075809910391622,5.797536796536796,3.9021023041474656,2.769285714285714,NA,NA,NA,NA,NA,NA
