date,tpm,bcp_2y,bcp_5y,bcu_10y,bcu_5y,bcp_10y,dtpm,dtpm_up,dtpm_down,dtpm_pos,dtpm_neg,dbcp_2y,dbcp_5y,dbcp_10y,dbcu_5y,dbcu_10y,product,rate,drate,spread_tpm
2002-02-01,5.5,NA,NA,NA,NA,NA,-0.5,0,0.5,0,-0.5,NA,NA,NA,NA,NA,cap_30_89,0.4465,-0.02759090909090911,-5.0535
2002-03-01,4.75,NA,NA,NA,NA,NA,-0.75,0,0.75,0,-0.75,NA,NA,NA,NA,NA,cap_30_89,0.3805,-0.066,-4.3695
2002-04-01,4.75,NA,NA,NA,NA,NA,0,0,-0,0,0,NA,NA,NA,NA,NA,cap_30_89,0.3628571428571428,-0.017642857142857182,-4.387142857142857
2002-05-01,4,NA,NA,NA,NA,NA,-0.75,0,0.75,0,-0.75,NA,NA,NA,NA,NA,cap_30_89,0.324,-0.03885714285714281,-3.676
2002-06-01,4,NA,NA,NA,NA,NA,0,0,-0,0,0,NA,NA,NA,NA,NA,cap_30_89,0.315,-0.009000000000000008,-3.685
2002-07-01,3.25,NA,NA,NA,NA,NA,-0.75,0,0.75,0,-0.75,NA,NA,NA,NA,NA,cap_30_89,0.2682608695652174,-0.046739130434782616,-2.9817391304347827
2002-08-01,3,NA,NA,NA,NA,NA,-0.25,0,0.25,0,-0.25,NA,NA,NA,NA,NA,cap_30_89,0.22666666666666668,-0.0415942028985507,-2.7733333333333334
2002-09-01,3,4.117515361445784,5.847286363636364,3.5469,2.52823476923077,NA,0,0,-0,0,0,NA,NA,NA,NA,NA,cap_30_89,0.21789473684210528,-0.008771929824561403,-2.7821052631578946
2002-10-01,3,4.458693102832127,6.3560486300300205,3.868675,2.8445,NA,0,0,-0,0,0,0.3411777413863435,0.5087622663936564,NA,0.31626523076922997,0.32177500000000014,cap_30_89,0.2282608695652174,0.010366132723112126,-2.7717391304347827
2002-11-01,3,3.9828452891722472,5.982820553695733,3.961688888888889,3.077472222222222,NA,0,0,-0,0,0,-0.4758478136598798,-0.37322807633428745,NA,0.23297222222222214,0.09301388888888873,cap_30_89,0.2285,2.3913043478260287e-4,-2.7715
2002-12-01,3,3.949962587628491,5.62716159554731,4.055199999999999,3.2653333333333334,NA,0,0,-0,0,0,-0.032882701543756276,-0.35565895814842285,NA,0.18786111111111126,0.09351111111111043,cap_30_89,0.2275,-0.0010000000000000009,-2.7725
2003-01-01,2.75,4.075809910391622,5.797536796536796,3.9021023041474656,2.769285714285714,NA,-0.25,0,0.25,0,-0.25,0.12584732276313115,0.17037520098948544,NA,-0.4960476190476193,-0.15309769585253363,cap_30_89,0.21727272727272728,-0.010227272727272724,-2.5327272727272727
2003-02-01,2.75,4.161890141516643,5.7764999999999995,3.941028409090909,2.745168188679245,NA,0,0,-0,0,0,0.08608023112502128,-0.021036796536796132,NA,-0.02411752560646896,0.038926104943443285,cap_30_89,0.2123809523809524,-0.0048917748917748916,-2.5376190476190477
2003-03-01,2.75,4.2754936114014646,5.83725,3.788541968998136,2.473427777777778,NA,0,0,-0,0,0,0.11360346988482117,0.060750000000000526,NA,-0.2717404109014674,-0.152486440092773,cap_30_89,0.21190476190476193,-4.761904761904634e-4,-2.538095238095238
2003-04-01,2.75,4.041953882019935,5.669393241167435,3.851693448275862,2.7121226045883944,NA,0,0,-0,0,0,-0.23353972938152978,-0.16785675883256523,NA,0.2386948268106166,0.06315147927772591,cap_30_89,0.21142857142857144,-4.7619047619049115e-4,-2.5385714285714287
2003-05-01,2.75,4.063932624113475,5.75384,3.9144561616108997,2.939251104218362,NA,0,0,-0,0,0,0.021978742093540227,0.08444675883256547,NA,0.22712849962996762,0.06276271333503791,cap_30_89,0.2245,0.013071428571428567,-2.5255
2003-06-01,2.75,4.055321979776477,5.789525583625818,3.860659522842536,2.850301720144468,NA,0,0,-0,0,0,-0.008610644336997986,0.03568558362581786,NA,-0.08894938407389397,-0.053796638768363714,cap_30_89,0.23190476190476192,0.007404761904761914,-2.518095238095238
2003-07-01,2.75,5.864285714285714,5.980997402597403,3.9022637138351017,2.769645080969463,NA,0,0,-0,0,0,1.8089637345092369,0.19147181897158472,NA,-0.08065663917500521,0.04160419099256574,cap_30_89,0.23608695652173914,0.0041821946169772195,-2.513913043478261
2003-08-01,2.75,5.014566666666667,6.077996126896127,3.9187402443786925,2.6999522437317354,NA,0,0,-0,0,0,-0.8497190476190468,0.09699872429872425,NA,-0.06969283723772746,0.016476530543590773,cap_30_89,0.23550000000000001,-5.869565217391237e-4,-2.5145
2003-09-01,2.75,4.507429783163265,6.2523077905835205,4.2206875,3.002177549146459,NA,0,0,-0,0,0,-0.507136883503402,0.17431166368739337,NA,0.3022253054147237,0.30194725562130786,cap_30_89,0.2325,-0.0030000000000000027,-2.5175
2003-10-01,2.75,4.182745107147281,5.883635535693847,4.080703678929766,3.1031248188405796,NA,0,0,-0,0,0,-0.32468467601598405,-0.3686722548896739,NA,0.10094726969412049,-0.139983821070234,cap_30_89,0.23086956521739133,-0.0016304347826086862,-2.5191304347826087
2003-11-01,2.75,3.5149573529411766,4.983201760543018,4.076339330694975,3.1569973039215675,NA,0,0,-0,0,0,-0.6677877542061044,-0.9004337751508285,NA,0.053872485080987964,-0.004364348234791038,cap_30_89,0.229,-0.0018695652173913169,-2.521
2003-12-01,2.25,3.2558850727816253,4.598830869488361,4.298955986842105,3.2435210914564463,NA,-0.5,0,0.5,0,-0.5,-0.2590722801595513,-0.38437089105465727,NA,0.08652378753487877,0.2226166561471299,cap_30_89,0.21100000000000002,-0.017999999999999988,-2.039
2004-01-01,1.75,2.9936201852920545,4.280653953669695,3.9846190476190473,2.963249594460592,NA,-0.5,0,0.5,0,-0.5,-0.2622648874895708,-0.3181769158186656,NA,-0.2802714969958542,-0.31433693922305794,cap_30_89,0.16523809523809524,-0.04576190476190478,-1.5847619047619048
2004-02-01,1.75,2.8683461966611623,4.243154961133811,3.8111349999999997,2.650652566667799,NA,0,0,-0,0,0,-0.12527398863089223,-0.03749899253588396,NA,-0.3125970277927932,-0.17348404761904757,cap_30_89,0.1405,-0.024738095238095226,-1.6095
2004-03-01,1.75,2.7121346493419956,4.1274474280956115,3.5310786293797736,2.3379484444472833,NA,0,0,-0,0,0,-0.15621154731916675,-0.1157075330381998,NA,-0.3127041222205156,-0.28005637062022615,cap_30_89,0.14130434782608697,8.043478260869596e-4,-1.608695652173913
2004-04-01,1.75,2.7652380952380953,4.313570344157239,3.801288283658787,2.4763331359532033,NA,0,0,-0,0,0,0.05310344589609972,0.18612291606162756,NA,0.13838469150591992,0.27020965427901356,cap_30_89,0.14333333333333334,0.002028985507246367,-1.6066666666666667
2004-05-01,1.75,2.9823967010187156,4.677121770901183,3.744061471422054,2.209043455607096,NA,0,0,-0,0,0,0.2171586057806203,0.36355142674394436,NA,-0.26728968034610734,-0.05722681223673298,cap_30_89,0.14400000000000002,6.666666666666765e-4,-1.6059999999999999
2004-06-01,1.75,3.075279763066413,4.380842744035234,3.8035626477146045,2.3679880824963253,NA,0,0,-0,0,0,0.09288306204769725,-0.29627902686594965,NA,0.1589446268892294,0.05950117629255036,cap_30_89,0.14550000000000002,0.0015000000000000013,-1.6045
2004-07-01,1.75,3.1150350899488424,4.646921830904066,3.6660278093516756,2.3413592330741704,6.4318,0,0,-0,0,0,0.039755326882429554,0.2660790868688325,NA,-0.026628849422154932,-0.1375348383629289,cap_30_89,0.14727272727272728,0.0017727272727272592,-1.6027272727272728
2004-08-01,1.75,3.1375860406986877,4.876024381024381,3.1685042780748662,1.990932206922774,6.305195534929287,0,0,-0,0,0,0.022550950749845367,0.22910255012031477,-0.126604465070713,-0.3504270261513964,-0.49752353127680937,cap_30_89,0.1431818181818182,-0.0040909090909090895,-1.606818181818182
2004-09-01,2,3.46287558335234,4.9699892871999936,3.275639682539682,2.2732207387813372,6.180492852891347,0.25,0.25,0,0.25,0,0.3252895426536524,0.09396490617561248,-0.12470268203794,0.2822885318585633,0.10713540446481584,cap_30_89,0.16,0.016818181818181815,-1.84
2004-10-01,2,4.201241106316204,5.47835307523163,3.2538836842105265,2.3641457936507932,6.568444642857142,0,0,-0,0,0,0.7383655229638642,0.5083637880316365,0.38795178996579516,0.09092505486945601,-0.021755998329155535,cap_30_89,0.171,0.01100000000000001,-1.829
2004-11-01,2.25,4.0718126297821415,5.101400354676272,3.2121666666666666,2.437363703537841,6.190103113554774,0.25,0.25,0,0.25,0,-0.12942847653406275,-0.3769527205553578,-0.378341529302368,0.07321790988704757,-0.041717017543859924,cap_30_89,0.19,0.01899999999999999,-2.06
2004-12-01,2.25,4.116437708496395,4.8592402731307285,3.2602454081632652,2.5642377681249267,6.005717141277089,0,0,-0,0,0,0.044625078714253696,-0.2421600815455438,-0.18438597227768483,0.12687406458708583,0.04807874149659863,cap_30_89,0.22714285714285715,0.037142857142857144,-2.0228571428571427
2005-01-01,2.5,3.9903059755219576,4.892319597243921,3.156423888888888,2.497073436448773,5.971417540632633,0.25,0.25,0,0.25,0,-0.12613173297443758,0.03307932411319214,-0.034299600644456696,-0.06716433167615365,-0.10382151927437722,cap_30_89,0.23238095238095238,0.005238095238095236,-2.2676190476190476
2005-02-01,2.75,4.121654366906431,4.907047342931697,2.9045422257347915,2.2724650133153936,5.9146708374384245,0.25,0.25,0,0.25,0,0.1313483913844733,0.014727745687776128,-0.05674670319420816,-0.22460842313337936,-0.25188166315409655,cap_30_89,0.24200000000000002,0.009619047619047638,-2.508
2005-03-01,2.75,4.5502730463681464,5.136151970093433,2.8051323182387,2.1396583598217958,6.035297956790173,0,0,-0,0,0,0.4286186794617155,0.2291046271617363,0.12062711935174875,-0.13280665349359788,-0.09940990749609169,cap_30_89,0.2509090909090909,0.008909090909090894,-2.499090909090909
2005-04-01,3,4.622210813557625,5.389838888575559,2.6309410020466415,2.0751387704573685,6.086962543557007,0.25,0.25,0,0.25,0,0.07193776718947831,0.253686918482126,0.05166458676683394,-0.06451958936442725,-0.1741913161920583,cap_30_89,0.27952380952380956,0.02861471861471865,-2.7204761904761905
2005-05-01,3.25,4.722706626063303,5.30611137266149,2.3925396001007284,2.084497378847379,5.878546733048363,0.25,0.25,0,0.25,0,0.1004958125056783,-0.08372751591406935,-0.20841581050864377,0.00935860839001057,-0.23840140194591308,cap_30_89,0.3295238095238095,0.04999999999999993,-2.9204761904761907
2005-06-01,3.25,4.689661197513123,5.1387863984373885,2.3330429674548423,1.968823393339716,5.693606586277964,0,0,-0,0,0,-0.03304542855017978,-0.1673249742241012,-0.1849401467703995,-0.11567398550766317,-0.059496632645886116,cap_30_89,0.3333333333333333,0.003809523809523818,-2.9166666666666665
