product,product_label,h1,h3,h6
cap_30_89,Captación 30-89d,0.07771908613498302,0.07956636272463419,0.07974564151914909
cap_90_1y,Captación 90d-1a,0.06905062820497111,0.06368037114080892,0.05683619733841685
comercial_cuotas,Comercial: cuotas,0.7539497160151931,0.993399983301516,0.9478752300231712
comercial_sobregiro,Comercial: sobregiro,0.7939239109944556,1.0544380584188504,1.3182128075383541
comercial_total,Comercial total,0.8918396857559816,0.9953305757210389,1.097784545087448
consumo_cuotas,Consumo: cuotas,1.16961020148154,0.5485735847003959,0.5703449746283825
consumo_tarj_cuota,Tarjeta: cuota,0.007980992009258087,1.0245514513933198,0.5624794537096676
consumo_tarj_rot,Tarjeta: rotativo,0.3559235861606171,1.1526141992980046,0.9821965692915554
consumo_total,Consumo total,0.8556472478892626,1.3185678649003398,1.2227350688105207
vivienda_uf,Vivienda UF >3 años,0.11805336239011174,0.047527853066132886,0.005447202525631046
