horizon,beta_signed,beta,type,reported_scale,cumulative,product,spec
0,0.036700115922137046,0.036700115922137046,alza_tpm,signed,0.036700115922137046,cap_30_89,macro
1,0.043701814138902395,0.043701814138902395,alza_tpm,signed,0.08040193006103943,cap_30_89,macro
2,0.02095991516591512,0.02095991516591512,alza_tpm,signed,0.10136184522695456,cap_30_89,macro
3,-0.0042421264638884786,-0.0042421264638884786,alza_tpm,signed,0.09711971876306608,cap_30_89,macro
4,-0.0033746956847767024,-0.0033746956847767024,alza_tpm,signed,0.09374502307828939,cap_30_89,macro
5,-0.005625305511798654,-0.005625305511798654,alza_tpm,signed,0.08811971756649073,cap_30_89,macro
6,-0.007609654906093422,-0.007609654906093422,alza_tpm,signed,0.0805100626603973,cap_30_89,macro
0,-0.05084099479921863,0.05084099479921863,baja_tpm,magnitude_expected_direction,0.05084099479921863,cap_30_89,macro
1,-0.024890305337575518,0.024890305337575518,baja_tpm,magnitude_expected_direction,0.07573130013679415,cap_30_89,macro
2,-0.005656191180300248,0.005656191180300248,baja_tpm,magnitude_expected_direction,0.0813874913170944,cap_30_89,macro
3,0.003852764886938896,-0.003852764886938896,baja_tpm,magnitude_expected_direction,0.07753472643015549,cap_30_89,macro
4,-0.002519063189762596,0.002519063189762596,baja_tpm,magnitude_expected_direction,0.08005378961991809,cap_30_89,macro
5,7.073334418728699e-4,-7.073334418728699e-4,baja_tpm,magnitude_expected_direction,0.07934645617804523,cap_30_89,macro
6,-0.0022569924809494033,0.0022569924809494033,baja_tpm,magnitude_expected_direction,0.08160344865899463,cap_30_89,macro
0,0.04284421665593663,0.04284421665593663,alza_tpm,signed,0.04284421665593663,cap_90_1y,macro
1,0.04130832657221395,0.04130832657221395,alza_tpm,signed,0.08415254322815058,cap_90_1y,macro
2,0.022193214875278037,0.022193214875278037,alza_tpm,signed,0.10634575810342861,cap_90_1y,macro
3,-0.014524034356043509,-0.014524034356043509,alza_tpm,signed,0.0918217237473851,cap_90_1y,macro
4,-0.021394679928687158,-0.021394679928687158,alza_tpm,signed,0.07042704381869795,cap_90_1y,macro
5,-0.007481964426315862,-0.007481964426315862,alza_tpm,signed,0.06294507939238209,cap_90_1y,macro
6,-0.006494832517714765,-0.006494832517714765,alza_tpm,signed,0.05645024687466732,cap_90_1y,macro
0,-0.050894145308558375,0.050894145308558375,baja_tpm,magnitude_expected_direction,0.050894145308558375,cap_90_1y,macro
1,-0.017843514796559785,0.017843514796559785,baja_tpm,magnitude_expected_direction,0.06873766010511816,cap_90_1y,macro
2,0.0019738541678118414,-0.0019738541678118414,baja_tpm,magnitude_expected_direction,0.06676380593730633,cap_90_1y,macro
3,0.001974584491013969,-0.001974584491013969,baja_tpm,magnitude_expected_direction,0.06478922144629234,cap_90_1y,macro
4,0.0049636167749407215,-0.0049636167749407215,baja_tpm,magnitude_expected_direction,0.059825604671351625,cap_90_1y,macro
5,-0.003678099352372547,0.003678099352372547,baja_tpm,magnitude_expected_direction,0.06350370402372417,cap_90_1y,macro
6,-3.003625382054223e-4,3.003625382054223e-4,baja_tpm,magnitude_expected_direction,0.06380406656192959,cap_90_1y,macro
0,0.37827115415707674,0.37827115415707674,alza_tpm,signed,0.37827115415707674,comercial_cuotas,macro
1,0.40511124123292064,0.40511124123292064,alza_tpm,signed,0.7833823953899974,comercial_cuotas,macro
2,0.3883558253785215,0.3883558253785215,alza_tpm,signed,1.171738220768519,comercial_cuotas,macro
3,0.017650559755968825,0.017650559755968825,alza_tpm,signed,1.1893887805244876,comercial_cuotas,macro
4,-0.08757248080581981,-0.08757248080581981,alza_tpm,signed,1.1018162997186678,comercial_cuotas,macro
5,-0.11252921199204256,-0.11252921199204256,alza_tpm,signed,0.9892870877266253,comercial_cuotas,macro
6,-0.11368322887805334,-0.11368322887805334,alza_tpm,signed,0.875603858848572,comercial_cuotas,macro
0,-0.25058672053137127,0.25058672053137127,baja_tpm,magnitude_expected_direction,0.25058672053137127,comercial_cuotas,macro
1,-0.4797917409171031,0.4797917409171031,baja_tpm,magnitude_expected_direction,0.7303784614484743,comercial_cuotas,macro
2,-0.21468355867847366,0.21468355867847366,baja_tpm,magnitude_expected_direction,0.945062020126948,comercial_cuotas,macro
3,0.12679432622563105,-0.12679432622563105,baja_tpm,magnitude_expected_direction,0.8182676939013169,comercial_cuotas,macro
4,-0.11774090427036239,0.11774090427036239,baja_tpm,magnitude_expected_direction,0.9360085981716794,comercial_cuotas,macro
5,-0.10069006509173954,0.10069006509173954,baja_tpm,magnitude_expected_direction,1.036698663263419,comercial_cuotas,macro
6,0.08412508446659073,-0.08412508446659073,baja_tpm,magnitude_expected_direction,0.9525735787968281,comercial_cuotas,macro
0,-0.4056937281608559,-0.4056937281608559,alza_tpm,signed,-0.4056937281608559,comercial_sobregiro,macro
1,0.8065923909685019,0.8065923909685019,alza_tpm,signed,0.40089866280764597,comercial_sobregiro,macro
2,0.840231701269045,0.840231701269045,alza_tpm,signed,1.241130364076691,comercial_sobregiro,macro
3,0.2747988267574037,0.2747988267574037,alza_tpm,signed,1.5159291908340946,comercial_sobregiro,macro
4,-0.6525114574513583,-0.6525114574513583,alza_tpm,signed,0.8634177333827364,comercial_sobregiro,macro
5,-0.0987279470735863,-0.0987279470735863,alza_tpm,signed,0.7646897863091501,comercial_sobregiro,macro
6,0.27429708902805394,0.27429708902805394,alza_tpm,signed,1.038986875337204,comercial_sobregiro,macro
0,-1.361197035815842,1.361197035815842,baja_tpm,magnitude_expected_direction,1.361197035815842,comercial_sobregiro,macro
1,0.07194765518808652,-0.07194765518808652,baja_tpm,magnitude_expected_direction,1.2892493806277556,comercial_sobregiro,macro
2,0.2442638137931629,-0.2442638137931629,baja_tpm,magnitude_expected_direction,1.0449855668345926,comercial_sobregiro,macro
3,0.05054027622608731,-0.05054027622608731,baja_tpm,magnitude_expected_direction,0.9944452906085053,comercial_sobregiro,macro
4,-0.6846201042164647,0.6846201042164647,baja_tpm,magnitude_expected_direction,1.67906539482497,comercial_sobregiro,macro
5,0.020512908075412183,-0.020512908075412183,baja_tpm,magnitude_expected_direction,1.6585524867495578,comercial_sobregiro,macro
6,0.1402944614004655,-0.1402944614004655,baja_tpm,magnitude_expected_direction,1.5182580253490923,comercial_sobregiro,macro
0,0.06961503508039325,0.06961503508039325,alza_tpm,signed,0.06961503508039325,comercial_total,macro
1,0.6736771668101132,0.6736771668101132,alza_tpm,signed,0.7432922018905065,comercial_total,macro
2,0.5163687226778412,0.5163687226778412,alza_tpm,signed,1.2596609245683477,comercial_total,macro
3,0.10173264413812654,0.10173264413812654,alza_tpm,signed,1.3613935687064742,comercial_total,macro
4,-0.12224470487538848,-0.12224470487538848,alza_tpm,signed,1.2391488638310857,comercial_total,macro
5,-0.20591565525887537,-0.20591565525887537,alza_tpm,signed,1.0332332085722105,comercial_total,macro
