product,horizon,estimate,std_error,conf_low,conf_high,spec
cap_30_89,0,0.045326136695005584,0.006310031351041396,0.03295847524696445,0.05769379814304672,macro
cap_30_89,1,0.09128064136769365,0.010149573582848952,0.0713874771453097,0.1111738055900776,macro
cap_30_89,2,0.12313723160744838,0.012642945664379943,0.0983570581052637,0.14791740510963308,macro
cap_30_89,3,0.13887501042471403,0.01474650686567841,0.10997185696798435,0.16777816388144373,macro
cap_30_89,4,0.1601632020448151,0.01661001413456683,0.12760757434106412,0.19271882974856608,macro
cap_30_89,5,0.17214961816866572,0.019282032469838034,0.1343568345277832,0.20994240180954826,macro
cap_30_89,6,0.17972220272635125,0.019839846266845543,0.140836104043334,0.21860830140936852,macro
cap_30_89,7,0.1878363677876218,0.020820568137071133,0.14702805423896237,0.22864468133628124,macro
cap_30_89,8,0.18856135939652394,0.024306184183194503,0.1409212383974627,0.23620148039558517,macro
cap_30_89,9,0.19346348839307553,0.028127448042228193,0.13833369023030828,0.24859328655584279,macro
cap_30_89,10,0.20018315509380383,0.03019231640407543,0.14100621494181598,0.2593600952457917,macro
cap_30_89,11,0.19941276126868954,0.03251031829366349,0.1356925374131091,0.26313298512426997,macro
cap_30_89,12,0.20414814963671496,0.03535953411098017,0.13484346277919385,0.2734528364942361,macro
cap_90_1y,0,0.04604640823807066,0.00647923121972106,0.03334711504741738,0.058745701428723936,macro
cap_90_1y,1,0.08810107390714073,0.01170574807686557,0.06515780767648421,0.11104434013779724,macro
cap_90_1y,2,0.11839767351127232,0.013205588963681705,0.09251471914245618,0.14428062788008847,macro
cap_90_1y,3,0.13315095348627543,0.017661365611561848,0.0985346768876142,0.16776723008493666,macro
cap_90_1y,4,0.14369262371794667,0.021390201920563408,0.10176782795364239,0.18561741948225094,macro
cap_90_1y,5,0.15655153529322335,0.021954177544032394,0.11352134730691987,0.19958172327952683,macro
cap_90_1y,6,0.16250121014070187,0.022541433106992012,0.11832000125099754,0.2066824190304062,macro
cap_90_1y,7,0.1696985472322626,0.02274307358825182,0.12512212299928904,0.21427497146523616,macro
cap_90_1y,8,0.16802914391776802,0.02528374555889804,0.11847300262232786,0.2175852852132082,macro
cap_90_1y,9,0.16837284338000624,0.027908009644512406,0.11367314447676193,0.22307254228325057,macro
cap_90_1y,10,0.17533380541215268,0.028245326103094548,0.11997296625008737,0.230694644574218,macro
cap_90_1y,11,0.1747597578955905,0.030454417476509163,0.11506909964163255,0.23445041614954848,macro
cap_90_1y,12,0.1791761055494575,0.03322714275817802,0.11405090574342859,0.24430130535548644,macro
comercial_cuotas,0,0.32053329498977134,0.09640958043143137,0.13157051734416586,0.5094960726353768,macro
comercial_cuotas,1,0.6720230319799173,0.12653337083504565,0.4240176251432278,0.9200284388166068,macro
comercial_cuotas,2,0.9905247065140103,0.12265941225541768,0.7501122584933916,1.2309371545346288,macro
comercial_cuotas,3,1.1010736506944463,0.14747481226650486,0.8120230186520968,1.390124282736796,macro
comercial_cuotas,4,1.4090324128046472,0.15375275826977503,1.107677006595888,1.7103878190134063,macro
comercial_cuotas,5,1.594585774004291,0.18362783239596703,1.2346752225081956,1.9544963255003864,macro
comercial_cuotas,6,1.7553462350409281,0.20150035446895895,1.3604055402817685,2.1502869298000875,macro
comercial_cuotas,7,1.8919389933361628,0.247569150897834,1.4067034575764081,2.3771745290959174,macro
comercial_cuotas,8,2.1036721309770563,0.28742361174530534,1.5403218519562578,2.6670224099978546,macro
comercial_cuotas,9,2.4150163632401593,0.3079786996199751,1.8113781119850083,3.0186546144953104,macro
comercial_cuotas,10,2.415661040467477,0.3159219605202299,1.7964539978478262,3.0348680830871277,macro
comercial_cuotas,11,2.479888007531024,0.35130478937616183,1.791330620353747,3.1684453947083013,macro
comercial_cuotas,12,2.7185824156117175,0.3447410074431588,2.042890041023126,3.394274790200309,macro
comercial_sobregiro,0,0.4210867130589987,0.26715892553062803,-0.10254478098103226,0.9447182070990296,macro
comercial_sobregiro,1,0.7478022863449139,0.2934130487580511,0.17271271077913375,1.322891861910694,macro
comercial_sobregiro,2,1.1207989525331903,0.30418089941962745,0.5246043896707205,1.71699351539566,macro
comercial_sobregiro,3,1.3373850383399037,0.24273253009557808,0.8616292793525707,1.8131407973272369,macro
comercial_sobregiro,4,1.637277789995248,0.3749409030438235,0.902393620029354,2.372161959961142,macro
comercial_sobregiro,5,1.8345287695706907,0.4091925912069085,1.0325112908051501,2.636546248336231,macro
comercial_sobregiro,6,2.3391448758750397,0.3573887739732784,1.638662878887414,3.0396268728626654,macro
comercial_sobregiro,7,2.811499757363492,0.4536344260411645,1.9223762823228094,3.7006232324041743,macro
comercial_sobregiro,8,2.7166991043416027,0.4040628741665483,1.924735870975168,3.5086623377080373,macro
comercial_sobregiro,9,3.0981524557870053,0.40173272901096035,2.310756306925523,3.8855486046484877,macro
comercial_sobregiro,10,3.0175790487005045,0.49517321027146516,2.047039556568433,3.988118540832576,macro
comercial_sobregiro,11,3.7952343181714117,0.4351013115355367,2.9424357475617597,4.648032888781064,macro
comercial_sobregiro,12,3.815706180142084,0.46398770831397607,2.9062902718466908,4.725122088437477,macro
comercial_total,0,0.3941705804302381,0.13248286192157557,0.13450417106395002,0.6538369897965262,macro
comercial_total,1,0.9671334785190409,0.14946737775533997,0.6741774181185745,1.2600895389195073,macro
comercial_total,2,1.4483047395706463,0.22843294079528687,1.000576175611884,1.8960333035294086,macro
comercial_total,3,1.6251763202814482,0.27523932383852356,1.0857072455579422,2.1646453950049542,macro
comercial_total,4,1.9048674152840728,0.2939941731995,1.3286388358130528,2.481095994755093,macro
comercial_total,5,2.174585835284781,0.3310316771010721,1.5257637481666797,2.823407922402882,macro
comercial_total,6,2.344031103760251,0.3676721122566491,1.6233937637372187,3.064668443783283,macro
comercial_total,7,2.4275561242457737,0.3742365189667759,1.694052547070893,3.1610597014206547,macro
comercial_total,8,2.4686796624560827,0.33886811029295666,1.8044981662818875,3.132861158630278,macro
comercial_total,9,2.8305508103017236,0.3561691664015362,2.1324592441547128,3.5286423764487345,macro
comercial_total,10,2.674670939001461,0.3372182601668397,2.013723149074455,3.3356187289284667,macro
comercial_total,11,2.713799542925006,0.31701490253950626,2.092450333947574,3.3351487519024383,macro
comercial_total,12,2.967853990352474,0.31532288481586507,2.3498211361133787,3.5858868445915695,macro
consumo_cuotas,0,0.39887941242145525,0.12418011523995472,0.155486386551144,0.6422724382917665,macro
consumo_cuotas,1,0.9166326751181925,0.26015236830129357,0.4067340332476571,1.426531316988728,macro
consumo_cuotas,2,0.7371568359740414,0.18787416696325768,0.3689234687260563,1.1053902032220264,macro
consumo_cuotas,3,0.8986587349625045,0.20998155426565368,0.48709488860182326,1.3102225813231856,macro
consumo_cuotas,4,0.9174888054041047,0.26297975058793366,0.4020484942517547,1.4329291165564548,macro
consumo_cuotas,5,0.995164036887771,0.30025744697970047,0.4066594408075581,1.5836686329679839,macro
consumo_cuotas,6,1.2276333458680466,0.31094729946494887,0.6181766389167469,1.8370900528193463,macro
consumo_cuotas,7,1.4185815020469326,0.33771510828089457,0.7566598898163792,2.080503114277486,macro
consumo_cuotas,8,1.5251038794118414,0.37685717296804483,0.7864638203944736,2.2637439384292093,macro
consumo_cuotas,9,1.477424577326343,0.3965169643044916,0.7002513272895394,2.2545978273631464,macro
consumo_cuotas,10,1.6295253482110772,0.41172075038639677,0.8225526774537395,2.4364980189684147,macro
consumo_cuotas,11,1.6514948558879519,0.4201746476359163,0.8279525465215559,2.475037165254348,macro
consumo_cuotas,12,1.7685611980317089,0.4074014228162571,0.9700544093118451,2.5670679867515727,macro
consumo_tarj_cuota,0,0.39599558085545516,0.28591515627896935,-0.1643981254513247,0.956389287162235,macro
consumo_tarj_cuota,1,0.4013888174003265,0.5105952656566846,-0.5993779032867753,1.4021555380874284,macro
consumo_tarj_cuota,2,1.109997595037544,0.49670725947862016,0.13645136645944855,2.0835438236156394,macro
consumo_tarj_cuota,3,1.0385976445358667,0.40604829666547204,0.24274298307154152,1.8344523060001918,macro
consumo_tarj_cuota,4,1.1865063337452295,0.2882994895988931,0.621439334131399,1.75157333335906,macro
consumo_tarj_cuota,5,1.461387657719633,0.3136300213913522,0.8466728157925827,2.0761024996466833,macro
consumo_tarj_cuota,6,1.3654076680778833,0.3441764684845562,0.6908217898481531,2.0399935463076133,macro
consumo_tarj_cuota,7,1.3287249537569938,0.346921471475024,0.6487588696659468,2.008691037848041,macro
consumo_tarj_cuota,8,1.771737187787346,0.3333050886192922,1.1184592140935332,2.425015161481159,macro
consumo_tarj_cuota,9,1.179110932384948,0.3688566409548732,0.45615191611339656,1.9020699486564996,macro
consumo_tarj_cuota,10,1.9598865172313278,0.4536232917079137,1.0707848654838168,2.8489881689788388,macro
consumo_tarj_cuota,11,1.8665346762642643,0.4480280651339896,0.9883996686016447,2.744669683926884,macro
consumo_tarj_cuota,12,1.7608355203399224,0.369760361094519,1.0361052125946653,2.4855658280851793,macro
