product,horizon,estimate,std_error,conf_low,conf_high,spec
cap_30_89,0,0.04653418502933898,0.005961849045686928,0.0348489608997926,0.05821940915888536,base
cap_30_89,1,0.09261849318566535,0.01000850879124047,0.07300181595483403,0.11223517041649668,base
cap_30_89,2,0.1267665138252569,0.012771113476110213,0.10173513141208088,0.1517978962384329,base
cap_30_89,3,0.1450554073657803,0.015308610599850557,0.1150505305900732,0.1750602841414874,base
cap_30_89,4,0.1685143310316677,0.018113957273116356,0.13301097477635965,0.20401768728697578,base
cap_30_89,5,0.18383907351272422,0.0216565475342796,0.1413922403455362,0.22628590667991222,base
cap_30_89,6,0.1944424181080797,0.022529561505736886,0.15028447755683538,0.238600358659324,base
cap_30_89,7,0.2050235942194867,0.023728955619647694,0.15851484120497722,0.2515323472339962,base
cap_30_89,8,0.20754888547092898,0.026003958733072815,0.15658112635410626,0.2585166445877517,base
cap_30_89,9,0.21430790615808867,0.02881516662296548,0.15783017957707635,0.270785632739101,base
cap_30_89,10,0.2221931818594205,0.031306856112285134,0.16083174387934163,0.28355461983949937,base
cap_30_89,11,0.22179193771911815,0.03316016035428749,0.15679802342471466,0.28678585201352164,base
cap_30_89,12,0.22625630458421178,0.035414475668770984,0.15684393227342064,0.2956686768950029,base
cap_90_1y,0,0.047957388069173636,0.006282873541555704,0.03564295592772446,0.060271820210622815,base
cap_90_1y,1,0.0908877106045735,0.011699346848745842,0.06795699078103165,0.11381843042811535,base
cap_90_1y,2,0.12386182068130681,0.01365801035045537,0.09709212039441428,0.15063152096819935,base
cap_90_1y,3,0.1407694587070612,0.018478994241490583,0.10455062999373965,0.17698828742038275,base
cap_90_1y,4,0.15376761942785527,0.022595691103758454,0.1094800648644887,0.19805517399122186,base
cap_90_1y,5,0.16844744451276086,0.02383031589974007,0.12174002534927034,0.2151548636762514,base
cap_90_1y,6,0.17551746381146696,0.024224172746943565,0.12803808522745758,0.22299684239547635,base
cap_90_1y,7,0.18389613606551067,0.023647740311775287,0.1375465650544311,0.23024570707659023,base
cap_90_1y,8,0.1821433487969308,0.024010089124400523,0.1350835741131058,0.22920312348075583,base
cap_90_1y,9,0.18324078116238174,0.024806532556417415,0.13461997735180362,0.23186158497295986,base
cap_90_1y,10,0.1897574201684777,0.02632659416113041,0.1381572956126621,0.24135754472429327,base
cap_90_1y,11,0.1881055421347766,0.02734576542901374,0.13450784189390966,0.24170324237564353,base
cap_90_1y,12,0.19062150500285005,0.0286180101189539,0.1345302051697004,0.2467128048359997,base
comercial_cuotas,0,0.33493779879685653,0.10233424392609188,0.13436268070171647,0.5355129168919965,base
comercial_cuotas,1,0.7041908491626986,0.13865245297044948,0.43243204134061763,0.9759496569847795,base
comercial_cuotas,2,1.0465168194064445,0.15329094853008204,0.7460665602874836,1.3469670785254053,base
comercial_cuotas,3,1.1863198224393385,0.18713933402333904,0.819526727753594,1.553112917125083,base
comercial_cuotas,4,1.5293827719784154,0.20281756766133927,1.1318603393621904,1.9269052045946404,base
comercial_cuotas,5,1.738790974401878,0.2592091884520606,1.2307409650358392,2.2468409837679166,base
comercial_cuotas,6,1.9214697705230928,0.2823487179562278,1.3680662833288864,2.474873257717299,base
comercial_cuotas,7,2.0645444866401066,0.3511231827095805,1.3763430485293289,2.7527459247508843,base
comercial_cuotas,8,2.277342241107588,0.3897345118302095,1.5134625979203773,3.041221884294799,base
comercial_cuotas,9,2.5946589840127254,0.4031044673609538,1.8045742279852561,3.3847437400401947,base
comercial_cuotas,10,2.597325470937242,0.44044639423398696,1.7340505382386278,3.4606004036358566,base
comercial_cuotas,11,2.6628903294378365,0.47952008933628126,1.7230309543387254,3.6027497045369477,base
comercial_cuotas,12,2.8930711941523253,0.5016931908824593,1.909752540022705,3.8763898482819457,base
comercial_sobregiro,0,0.4328874732041555,0.2547584518252676,-0.06643909237336892,0.93221403878168,base
comercial_sobregiro,1,0.7479108822167922,0.2866775922726556,0.18602280136238725,1.3097989630711973,base
comercial_sobregiro,2,1.1411697151468132,0.2921075297198425,0.5686389568959219,1.7137004733977044,base
comercial_sobregiro,3,1.3705469769049048,0.2287191818199703,0.922257380537763,1.8188365732720466,base
comercial_sobregiro,4,1.680357539883091,0.3459362392111284,1.0023225110292793,2.3583925687369027,base
comercial_sobregiro,5,1.88918067185564,0.37295427336313514,1.1581902960638952,2.6201710476473847,base
comercial_sobregiro,6,2.404093192331824,0.3608692298568202,1.6967895018124564,3.1113968828511913,base
comercial_sobregiro,7,2.8910948213507406,0.43051866876351735,2.0472782305742467,3.7349114121272344,base
comercial_sobregiro,8,2.8298176046150645,0.47608820088136466,1.8966847308875896,3.7629504783425394,base
comercial_sobregiro,9,3.1906947125020477,0.5219635225908936,2.1676462082238963,4.213743216780199,base
comercial_sobregiro,10,3.09334917524903,0.6074233377988599,1.9027994331632645,4.2838989173347954,base
